,,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked
Country,,AT,BE,CH,DE,DK,FI,FR,GB,IE,MT,NL,NO,SE
InventorySku,zone,,,,,,,,,,,,,
A590,21,,,,,,,1.0,,,,,,
A591,21,,,,,,,5.0,,,,,,
A592,21,,,,,,314.0,,,,,,,593.0
A593,21,,,,,,,169.0,,,,,,
A594,21,,,,,,,5.0,,,,,,
A595,21,,,,,,,5.0,,,,,,
A596,21,,,,,,,2.0,,,,,,
A598,22,,,,,,184.0,,,,,,,283.0
A599,22,71.0,,,231.0,,,,,,,,,
A600,22,,,,,,,2010.0,,,,,,
A601,22,,,,,131.0,,,3.0,23.0,,,,
A602,22,,,,,,,,,,,,266.0,
A603,22,,,,,,,,,,,,,870.0
A604,22,,,,,,72.0,,,,,,,143.0
A605,22,3.0,38.0,25.0,20.0,15.0,1.0,46.0,1.0,11.0,3.0,16.0,20.0,10.0
A606,22,,,,,,,5654.0,,,,,,
A607,22,608.0,,,,,,,,,,,,
A608,22,,,,,,,,,,,,,262.0
A609,22,,,,,,266.0,,,,,,,
A611,22,,,,,,,,,,,,1273.0,
A613,22,,,,,,21.0,,,,,,,66.0
A614,22,368.0,,,1861.0,,,,,,,,,
A615,22,,,,,,29.0,,,,,,,76.0
A616,22,,,,,449.0,,,,,,,1112.0,
A617,22,539.0,,1019.0,1852.0,,,,,,,,,
A619,22,1.0,6.0,10.0,10.0,4.0,,11.0,,,,13.0,9.0,4.0
A620,22,377.0,,,1069.0,,,,,,,,,
A621,22,,,,,826.0,,,,,,,1318.0,
A622,22,,,,,,,,,,,,553.0,
A624,22,,,,,,,,,,,577.0,,
A625,22,,,,,,,,,,,,249.0,
A626,22,,,,,,,4.0,,,,,,
A627,22,,,,,,,4.0,,,,,,
A628,22,,,,,,,16.0,,,,,,
A629,22,,,,,,,12.0,,,,,,
A630,22,,,,,,,18.0,,,,,,
A632,22,,,,,,,61.0,,,,,,
A633,22,,17.0,5.0,,,,53.0,,,,,,
A634,22,,17.0,5.0,,,,53.0,,,,,,
A636,22,,,,,,,33.0,,,,,,
A637,22,,,,,,,33.0,,,,,,
A639,22,,,,,,,36.0,,,,,,
A640,22,,1.0,,,,,3.0,,,,,,
A641,22,,1.0,,,,,3.0,,,,,,
A642,22,,,,,,,,,,,3.0,,
A643,22,,29.0,10.0,,,,89.0,,,,,,
A644,22,,29.0,10.0,,,,89.0,,,,,,
A645,22,,2.0,,,,,17.0,,,,,,
A646,22,,,,,,,,,,,,29.0,
A648,22,,,257.0,,,,,,,,,,
A649,22,,,2.0,,,,,,,,,,
A650,22,,,2.0,,,,,,,,,,
A651,22,,,9.0,,,,,,,,,,
A655,22,2.0,,,,,,,,,,,,
A656,22,2.0,,1.0,15.0,,,,,,,,,
A657,22,4.0,,1.0,15.0,,,,,,,,,
A658,22,3.0,,,6.0,,,,,,,,,
A659,22,,,,5.0,,,,,,,,,
A660,22,2.0,,3.0,4.0,,,,,,,,,
A666,22,,,,,,,6.0,,,,,,
A670,22,3.0,1.0,1.0,17.0,1.0,,10.0,,,,1.0,,
A671,22,,3.0,5.0,7.0,4.0,,8.0,,,,2.0,4.0,1.0
A673,22,,,3.0,1.0,1.0,,1.0,1.0,,,,5.0,3.0
A674,22,16.0,67.0,39.0,82.0,5.0,,71.0,,,,,17.0,25.0
A675,22,2.0,26.0,7.0,1.0,,,6.0,,3.0,,2.0,5.0,1.0
A676,22,9.0,25.0,12.0,17.0,2.0,2.0,33.0,,1.0,,6.0,14.0,7.0
A677,22,,94.0,,,3.0,2.0,115.0,,,,20.0,15.0,11.0
A678,22,3.0,12.0,52.0,45.0,5.0,,13.0,1.0,,,3.0,6.0,2.0
A679,22,2.0,6.0,12.0,10.0,,,10.0,,,,5.0,4.0,1.0
A682,22,,1.0,,,,,2.0,,,,,,
A683,22,,,,,39.0,,,,,,,,
A684,22,,,,,,,,,,,,89.0,
A685,22,,,,,,,,,,,309.0,,
A686,22,,,,,60.0,,,3.0,28.0,,,,
A687,22,,,,,92.0,,,3.0,15.0,,,,
A688,22,,,,,101.0,,,3.0,21.0,,,,
A689,22,,,,,71.0,,,2.0,16.0,,,,
A690,22,,,,,102.0,,,3.0,30.0,,,,
A691,22,,,,,61.0,,,1.0,5.0,,,,
A692,22,,,,,95.0,,,7.0,27.0,,,,
A694,22,6.0,,6.0,17.0,,,,,,,,,
A695,22,,,,,10.0,6.0,,,,,,48.0,24.0
A696,22,10.0,,8.0,29.0,,,,,,,,,
A699,22,,,,,4.0,7.0,,,,,,23.0,7.0
A700,22,,,,,13.0,7.0,,,,,,39.0,16.0
A701,22,,,,,11.0,1.0,,,,,,28.0,11.0
A702,22,,,,,,,,13.0,10.0,,,,
A703,22,,,,,147.0,,,3.0,30.0,,,,
A704,22,,,,,,,,,,,,195.0,
A705,22,,,,,90.0,,,6.0,27.0,,,,
A707,22,,,,,47.0,,,2.0,23.0,,,,
A708,31,,,,,,,,25.0,68.0,,,,
A709,31,,,,,,,,81.0,179.0,247.0,,,
A710,31,,105.0,,,,,,,,,,,
A711,31,,,,,,,,3.0,18.0,,,,
A712,31,,,,,,,,118.0,243.0,,,,
A713,31,,,,,,,,14.0,25.0,11.0,,,
A715,31,,99.0,,,,,,,,,,,
A717,31,,,,,,,,127.0,388.0,193.0,,,
A718,31,,,190.0,,,,,,,,,,
A719,31,,,,,,,,7.0,45.0,5.0,,,
A720,31,,,,,,,,11.0,190.0,,,,
A721,31,,,,,,,,41.0,,,,,
A722,31,,,76.0,,,,,,,,,,
A723,31,,,,,,,,25.0,516.0,3.0,,,
A724,31,,,,,,,,100.0,925.0,94.0,,,
A725,31,,,,,,,,10.0,102.0,,,,
A726,31,,,,,,,,39.0,57.0,,,,
A727,31,,,,,,,,18.0,84.0,,,,
A728,31,,,,,,,,20.0,117.0,,,,
A729,31,,,,,,,,134.0,302.0,158.0,,,
A730,31,,,,,,,,24.0,,,,,
A731,31,,,,,,,,,,,,,126.0
A732,31,,,,,,,,68.0,324.0,,,,
A733,31,,,,,,,,,17.0,,,,
A735,31,,,,,,,,29.0,116.0,,,,
A736,31,,,,,,,,33.0,67.0,,,,
A739,31,,,,,,,,24.0,163.0,52.0,,,
A742,31,,,,,,,,,,1.0,,,
A749,31,,,,,,,,,,6.0,,,
A750,31,,,112.0,,,,,,,,,,
A751,31,,,,,,,,,,,,2.0,
A752,31,,,,,,,2.0,,,,,,
A753,31,,,,,,,,,,,,79.0,
A755,31,,,1.0,,,,,,,,,,
A756,31,,,,,,,,5.0,29.0,,,,
A757,31,,,,,,,,,6.0,,,,
A758,31,,,,,,,13.0,,,,,,
A759,31,,,,,,,,,37.0,,,,
A760,31,,,23.0,,,,,,,,,,
A761,31,,,,,,,,,,,8.0,,
A762,31,64.0,,,,,,,,,,,,
A763,31,,,5.0,,,,,,,,,,
A764,31,,,,,,,,7.0,33.0,,,,
A765,31,,,,,,,,,1.0,,,,
A766,31,,,,,,,,,88.0,,,,
A767,31,,,,,,,,2.0,2.0,,,,
A768,31,,,,,,,,,2.0,,,,
A769,31,,,,,,,,,,6.0,,,
A770,31,,,,,,,,,20.0,,,,
A771,31,,,,,,,,,,16.0,,,
A772,31,,,,,,,,,2.0,,,,
A774,31,,,,,,,,1.0,1.0,,,,
A775,31,,,,,,,,1.0,,,,,
A778,31,,,,,,,,3.0,,,,,
A779,31,,,,,,,,1.0,,,,,
A782,31,,,,,,,,,20.0,,,,
A783,32,,,,,,145.0,,,,,,,138.0
A784,32,,,,,,78.0,,,,,,,186.0
A786,32,,,,,217.0,,,,,,,,
A787,32,,,,,410.0,,,,,,,,
A788,32,,,,,211.0,,,,,,,,
A789,32,,,,,233.0,,,,,,,,
A790,32,2.0,,,3.0,,,,,,,,,
A791,32,,,,,129.0,,,,,,,,
A792,32,,,,,,174.0,,,,,,,358.0
A793,32,,,,,13.0,,,,,,,,
A794,32,,,,,,104.0,,,,,,,
A796,32,,,,,,31.0,,,,,,,53.0
A798,32,,,,,318.0,,,,,,,985.0,
A799,32,,,,,127.0,,,,,,,,
A800,32,,,,,110.0,,,,,,,,
A801,32,,,,,372.0,,,,,,,,
A802,32,,,,,152.0,,,,,,,,
A803,32,,,,,42.0,,,,,,,136.0,
A804,32,,,,,,,,15.0,33.0,,,,
A806,32,,,,,5.0,,,,,,,,
A807,32,,,,,290.0,,,,,,,,
A808,32,,,,,,18.0,,,,,,,11.0
A809,32,,,,24.0,,,,,,,,,
A810,32,,,,,,,,,,14.0,,,
A811,32,,,,,38.0,,,,,,,95.0,
A812,32,,,,,15.0,,,,,,,,
A813,32,,,,,,3.0,,,,,,,
A814,32,,,,,,28.0,,,,,,,
A815,32,4.0,,,,,,,,,,,,
A816,32,,,,,,,,,,,,,30.0
A817,32,,,,,140.0,,,,,,,,
A818,32,,,,,,67.0,,,,,,,
A819,32,,,,,,,,,,,,,125.0
